mode,step,condition,sampling_rate,measurement_sigma,samples,mse
sigma,1000,correct,2.0,0.0,40,0.06526031345129013
sigma,1000,correct,2.0,0.01,40,0.0657764881849289
sigma,1000,correct,2.0,0.03,40,0.06683468371629715
sigma,1000,correct,2.0,0.05,40,0.06795933544635772
sigma,1000,correct,2.0,0.07,40,0.0690889060497284
sigma,1000,correct,2.0,0.09,40,0.07083263397216796
sigma,1000,correct,3.0,0.0,40,0.049680665135383606
sigma,1000,correct,3.0,0.01,40,0.05009828209877014
sigma,1000,correct,3.0,0.03,40,0.0511274129152298
sigma,1000,correct,3.0,0.05,40,0.05211937725543976
sigma,1000,correct,3.0,0.07,40,0.05338713675737381
sigma,1000,correct,3.0,0.09,40,0.05467710942029953
sigma,2000,correct,1.0,0.0,40,0.11543467938899994
sigma,2000,correct,1.0,0.01,40,0.1154651552438736
sigma,2000,correct,1.0,0.03,40,0.11564622670412064
sigma,2000,correct,1.0,0.05,40,0.11563568711280822
sigma,2000,correct,1.0,0.07,40,0.11584033370018006
sigma,2000,correct,1.0,0.09,40,0.11602402329444886
sigma,2000,correct,2.0,0.0,40,0.13010686933994292
sigma,2000,correct,2.0,0.01,40,0.13012240529060365
sigma,2000,correct,2.0,0.03,40,0.13017401993274688
sigma,2000,correct,2.0,0.05,40,0.13030324280261993
sigma,2000,correct,2.0,0.07,40,0.13032261431217193
sigma,2000,correct,2.0,0.09,40,0.13072525560855866
sigma,2000,correct,3.0,0.0,40,0.11506297588348388
sigma,2000,correct,3.0,0.01,40,0.11509744822978973
sigma,2000,correct,3.0,0.03,40,0.11516422629356385
sigma,2000,correct,3.0,0.05,40,0.1152660608291626
sigma,2000,correct,3.0,0.07,40,0.11541083455085754
sigma,2000,correct,3.0,0.09,40,0.11545313894748688
sigma,3000,correct,1.0,0.0,40,0.09804465770721435
sigma,3000,correct,1.0,0.01,40,0.09770305305719376
sigma,3000,correct,1.0,0.03,40,0.09700885713100434
sigma,3000,correct,1.0,0.05,40,0.09639225006103516
sigma,3000,correct,1.0,0.07,40,0.09584639072418213
sigma,3000,correct,1.0,0.09,40,0.09532369822263717
sigma,3000,correct,2.0,0.0,40,0.10904324054718018
sigma,3000,correct,2.0,0.01,40,0.1086590677499771
sigma,3000,correct,2.0,0.03,40,0.10795172452926635
sigma,3000,correct,2.0,0.05,40,0.10722430944442748
sigma,3000,correct,2.0,0.07,40,0.10666133463382721
sigma,3000,correct,2.0,0.09,40,0.1061462253332138
sigma,3000,correct,3.0,0.0,40,0.08941409587860108
sigma,3000,correct,3.0,0.01,40,0.08903034180402755
sigma,3000,correct,3.0,0.03,40,0.08829491436481476
sigma,3000,correct,3.0,0.05,40,0.08757928907871246
sigma,3000,correct,3.0,0.07,40,0.0870373547077179
sigma,3000,correct,3.0,0.09,40,0.08644598424434662
sigma,4000,correct,1.0,0.0,40,0.0809650957584381
sigma,4000,correct,1.0,0.01,40,0.08106278479099274
sigma,4000,correct,1.0,0.03,40,0.08123869001865387
sigma,4000,correct,1.0,0.05,40,0.08147055506706238
sigma,4000,correct,1.0,0.07,40,0.08222361207008362
sigma,4000,correct,1.0,0.09,40,0.08263889998197556
sigma,4000,correct,2.0,0.0,40,0.09020425975322724
sigma,4000,correct,2.0,0.01,40,0.09022144377231597
sigma,4000,correct,2.0,0.03,40,0.09029540717601776
sigma,4000,correct,2.0,0.05,40,0.09049378037452697
sigma,4000,correct,2.0,0.07,40,0.0906119853258133
sigma,4000,correct,2.0,0.09,40,0.09123583734035492
sigma,4000,correct,3.0,0.0,40,0.07336916774511337
sigma,4000,correct,3.0,0.01,40,0.07346327602863312
sigma,4000,correct,3.0,0.03,40,0.07370426952838897
sigma,4000,correct,3.0,0.05,40,0.07399309575557708
sigma,4000,correct,3.0,0.07,40,0.07447629421949387
sigma,4000,correct,3.0,0.09,40,0.07528252601623535
sigma,4000,reported_zero,1.0,0.0,40,0.0809650957584381
sigma,4000,reported_zero,1.0,0.01,40,0.0810262307524681
sigma,4000,reported_zero,1.0,0.03,40,0.0811564415693283
sigma,4000,reported_zero,1.0,0.05,40,0.08138462752103806
sigma,4000,reported_zero,1.0,0.07,40,0.0820782333612442
sigma,4000,reported_zero,1.0,0.09,40,0.08255970925092697
sigma,4000,reported_zero,2.0,0.0,40,0.09020425975322724
sigma,4000,reported_zero,2.0,0.01,40,0.09022841155529022
sigma,4000,reported_zero,2.0,0.03,40,0.09034589529037476
sigma,4000,reported_zero,2.0,0.05,40,0.09061008393764496
sigma,4000,reported_zero,2.0,0.07,40,0.09089439809322357
sigma,4000,reported_zero,2.0,0.09,40,0.09162627458572388
sigma,4000,reported_zero,3.0,0.0,40,0.07336916774511337
sigma,4000,reported_zero,3.0,0.01,40,0.07340120822191239
sigma,4000,reported_zero,3.0,0.03,40,0.07355362623929977
sigma,4000,reported_zero,3.0,0.05,40,0.07379463911056519
sigma,4000,reported_zero,3.0,0.07,40,0.07427317053079605
sigma,4000,reported_zero,3.0,0.09,40,0.0750751942396164
adanorm,1000,correct,1.0,0.0,40,0.03967087268829346
adanorm,1000,correct,1.0,0.01,40,0.03919403254985809
adanorm,1000,correct,1.0,0.03,40,0.038629379123449326
adanorm,1000,correct,1.0,0.05,40,0.038689029216766355
adanorm,1000,correct,1.0,0.07,40,0.040277418494224546
adanorm,1000,correct,1.0,0.09,40,0.044341032207012174
adanorm,1000,correct,2.0,0.0,40,0.04640063717961311
adanorm,1000,correct,2.0,0.01,40,0.045800212770700455
adanorm,1000,correct,2.0,0.03,40,0.044900842010974884
adanorm,1000,correct,2.0,0.05,40,0.04478694498538971
adanorm,1000,correct,2.0,0.07,40,0.04576393738389015
adanorm,1000,correct,2.0,0.09,40,0.04957036226987839
adanorm,1000,correct,3.0,0.0,40,0.032833559811115264
adanorm,1000,correct,3.0,0.01,40,0.03237372636795044
adanorm,1000,correct,3.0,0.03,40,0.031724270433187485
adanorm,1000,correct,3.0,0.05,40,0.03157134428620338
adanorm,1000,correct,3.0,0.07,40,0.03258632719516754
adanorm,1000,correct,3.0,0.09,40,0.03517945259809494
adanorm,2000,correct,1.0,0.0,40,0.11770434826612472
adanorm,2000,correct,1.0,0.01,40,0.11659197509288788
adanorm,2000,correct,1.0,0.03,40,0.11417173445224763
adanorm,2000,correct,1.0,0.05,40,0.11133586168289185
adanorm,2000,correct,1.0,0.07,40,0.10828512012958527
adanorm,2000,correct,1.0,0.09,40,0.10530368238687515
adanorm,2000,correct,2.0,0.0,40,0.12944111824035645
adanorm,2000,correct,2.0,0.01,40,0.12832892537117005
adanorm,2000,correct,2.0,0.03,40,0.12589019238948823
adanorm,2000,correct,2.0,0.05,40,0.12308864295482635
adanorm,2000,correct,2.0,0.07,40,0.11979544460773468
adanorm,2000,correct,2.0,0.09,40,0.11707033216953278
adanorm,2000,correct,3.0,0.0,40,0.11273691952228546
adanorm,2000,correct,3.0,0.01,40,0.11163672506809234
adanorm,2000,correct,3.0,0.03,40,0.10913042426109314
adanorm,2000,correct,3.0,0.05,40,0.10623978972434997
adanorm,2000,correct,3.0,0.07,40,0.10317452549934387
adanorm,2000,correct,3.0,0.09,40,0.10020747482776642
adanorm,3000,correct,1.0,0.0,40,0.09973382204771042
adanorm,3000,correct,1.0,0.01,40,0.10035563260316849
adanorm,3000,correct,1.0,0.03,40,0.10162230134010315
adanorm,3000,correct,1.0,0.05,40,0.10318643599748611
adanorm,3000,correct,1.0,0.07,40,0.10490277409553528
adanorm,3000,correct,1.0,0.09,40,0.1065439909696579
adanorm,3000,correct,2.0,0.0,40,0.1110282838344574
adanorm,3000,correct,2.0,0.01,40,0.11179455518722534
adanorm,3000,correct,2.0,0.03,40,0.1135396659374237
adanorm,3000,correct,2.0,0.05,40,0.11525827646255493
adanorm,3000,correct,2.0,0.07,40,0.11738269925117492
adanorm,3000,correct,2.0,0.09,40,0.11922675967216492
adanorm,3000,correct,3.0,0.0,40,0.09030185639858246
adanorm,3000,correct,3.0,0.01,40,0.09111209213733673
adanorm,3000,correct,3.0,0.03,40,0.09277591854333878
adanorm,3000,correct,3.0,0.05,40,0.09462479203939438
adanorm,3000,correct,3.0,0.07,40,0.09668512046337127
adanorm,3000,correct,3.0,0.09,40,0.0985134333372116
adanorm,4000,correct,1.0,0.0,40,0.07908172607421875
adanorm,4000,correct,1.0,0.01,40,0.07875982969999314
adanorm,4000,correct,1.0,0.03,40,0.07821173667907715
adanorm,4000,correct,1.0,0.05,40,0.07796330153942108
adanorm,4000,correct,1.0,0.07,40,0.07846975922584534
adanorm,4000,correct,1.0,0.09,40,0.07900476902723312
adanorm,4000,correct,2.0,0.0,40,0.08527477979660034
